Primary Key,Participant ID,Treatment Group,Timestamp,Question Label,Before/After Exposure,Error present,Text Explanation ,Actual Chart Error,Error Identified (Coder 1),Error Identified (Coder 2),Coder Mismatch?,Consensus Code
54,848,None,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:05:55,Rate,0,0,,0
116,848,None,,PQ 2 Rate,Prior,R_2e8qkjjmXIDKtaY,"I consent, begin the study",Rate,1,1,,1
178,848,None,,PQ 3 Good,Prior,5beeda51555093000152d513,There are errors in construction,Good,1,1,,1
240,848,None,,PQ 4 GOOD,Prior,no correlation between the variables,It's well constructed,Good,1,1,,1
302,848,None,,PQ 5 Good,Prior,,There are errors in construction,Good,1,1,,1
364,848,None,,PQ  6 Rate,Prior,the dots dont mean anything,It's well constructed,Rate,0,P,X,0
426,848,None,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
488,848,None,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
550,848,None,,PQ 9 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
612,848,None,,PQ 10 Legend,Prior,,It's well constructed,Legend,0,0,,0
674,848,None,,PQ 11 Legend,Prior,,It's well constructed,Legend,1,1,,1
736,848,None,,PQ 12 Legend,Prior,,It's poorly constructed,Legend,0,0,,0
798,848,None,,PQ 13 Size,Prior,do not know this type of chart,It's well constructed,Neg Size,0,0,,0
860,848,None,,PQ 14 Size,Prior,,There are errors in construction,Neg Size,0,P,X,0
922,848,None,,PQ 15 Size,Prior,colors should be different,There are errors in construction,Neg Size,0,0,,0
984,848,None,,PQ 16 Color,Prior,sun is beung shown with precipitation,It's well constructed,Color,1,1,,1
1046,848,None,,PQ 17 Color,Prior,,There are errors in construction,Color,0,0,,0
1108,848,None,,PQ 18 Color,Prior,no idea what it means,There are errors in construction,Color,0,0,,0
1170,848,None,,TQ 1 Zero,Post,Like,Like,Zero Axis,0,0,,0
1232,848,None,,TQ 2 Good,Post,Like,Like,Good,1,1,,1
1294,848,None,,TQ 3 Good,Post,Like,It's well constructed,Good,1,1,,1
1356,848,None,,TQ 4 legend,Post,It's well constructed,It's well constructed,Legend,1,1,,1
1418,848,None,,TQ 5 Color,Post,,There are errors in construction,Color,1,1,,1
1480,848,None,,TQ 6 Color,Post,no legend,It's well constructed,Color,1,1,,1
1542,848,None,,TQ 7 Size,Post,no legend,There are errors in construction,Size Neg,P,0,X,P
1604,848,None,,TQ 8 Zero Axis,Post,similar colors,There are errors in construction,Zero Axis,0,0,,0
1666,848,None,,TQ 9 Size,Post,too much information in such little space,There are errors in construction,Size Neg,1,0,X,P
1728,848,None,,TQ 10 Legend,Post,size with negative value,There are errors in construction,Legend,1,1,,1
1790,848,None,,TQ 11 Good,Post,there is no legend,There are errors in construction,Good,1,1,,1
1852,848,None,,TQ 12 Rate,Post,sizes with negative values,It's well constructed,Rate,0,0,,0
1914,848,None,,TQ 13 Zero,Post,,There are errors in construction,Zero Axis,0,0,,0
1976,848,None,,TQ 14 Legend,Post,vars have different measures,There are errors in construction,Legend,1,1,,1
2038,848,None,,TQ 15 color,Post,doesnt start at zero,There are errors in construction,Color,1,1,,1
2100,848,None,,TQ 16 Size,Post,there is no legend,There are errors in construction,Size Neg,0,0,,0
2162,848,None,,TQ 17 Rate,Post,similar colors,There are errors in construction,Rate,0,0,,0
2224,848,None,,TQ 18 Rate,Post,similar color,There are errors in construction,Rate,0,0,,0
53,3030,None,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:22:30,Rate,0,0,,0
115,3030,None,,PQ 2 Rate,Prior,R_3nwV9w99itHgoNa,"I consent, begin the study",Rate,0,0,,0
177,3030,None,,PQ 3 Good,Prior,5d70ec2138ac7e00012f817b,It's well constructed,Good,1,1,,1
239,3030,None,,PQ 4 GOOD,Prior,,There are errors in construction,Good,1,1,,1
301,3030,None,,PQ 5 Good,Prior,The labels should say what data 1 and data 2 are,There are errors in construction,Good,1,1,,1
363,3030,None,,PQ  6 Rate,Prior,"The labels must have the units, it is impossible to understand what is fertility=1",It's well constructed,Rate,0,0,,0
425,3030,None,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,1,1,,1
487,3030,None,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
549,3030,None,,PQ 9 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
611,3030,None,,PQ 10 Legend,Prior,,There are errors in construction,Legend,P,1,X,P
673,3030,None,,PQ 11 Legend,Prior,Y-Axis label should specify what is being counted,It's well constructed,Legend,0,0,,0
735,3030,None,,PQ 12 Legend,Prior,,It's poorly constructed,Legend,0,0,,0
797,3030,None,,PQ 13 Size,Prior,"It doesn't show any label, it is impossible to associate any color to a specific information",There are errors in construction,Neg Size,0,0,,0
859,3030,None,,PQ 14 Size,Prior,"It is missing the y-axis label, and it's impossible to associate the colors to different data",There are errors in construction,Neg Size,0,0,,0
921,3030,None,,PQ 15 Size,Prior,"The colours used should be different, or else, use different patterns",There are errors in construction,Neg Size,0,0,,0
983,3030,None,,PQ 16 Color,Prior,The Y-axis label must also refer the units used,It's well constructed,Color,0,0,,0
1045,3030,None,,PQ 17 Color,Prior,,There are errors in construction,Color,0,0,,0
1107,3030,None,,PQ 18 Color,Prior,The y-axis should have a larger separation between the values.,There are errors in construction,Color,0,0,,0
1169,3030,None,,TQ 1 Zero,Post,,,Zero Axis,1,1,,1
1231,3030,None,,TQ 2 Good,Post,,,Good,0,0,,0
1293,3030,None,,TQ 3 Good,Post,,There are errors in construction,Good,0,0,,0
1355,3030,None,,TQ 4 legend,Post,It's well constructed,It's well constructed,Legend,0,0,,0
1417,3030,None,,TQ 5 Color,Post,,There are errors in construction,Color,0,0,,0
1479,3030,None,,TQ 6 Color,Post,Different colours would help us to understand it better,It's well constructed,Color,0,0,,0
1541,3030,None,,TQ 7 Size,Post,,It's well constructed,Size Neg,0,0,,0
1603,3030,None,,TQ 8 Zero Axis,Post,Some colours are to similar,There are errors in construction,Zero Axis,1,1,,1
1665,3030,None,,TQ 9 Size,Post,Some colours are very similar ,It's well constructed,Size Neg,P,0,X,P
1727,3030,None,,TQ 10 Legend,Post,,There are errors in construction,Legend,0,0,,0
1789,3030,None,,TQ 11 Good,Post,"It's too grey, different colours would help us distinguish the graph",It's well constructed,Good,0,0,,0
1851,3030,None,,TQ 12 Rate,Post,,It's well constructed,Rate,0,0,,0
1913,3030,None,,TQ 13 Zero,Post,,It's well constructed,Zero Axis,0,0,,0
1975,3030,None,,TQ 14 Legend,Post,,It's well constructed,Legend,1,1,,1
2037,3030,None,,TQ 15 color,Post,,It's well constructed,Color,0,0,,0
2099,3030,None,,TQ 16 Size,Post,,There are errors in construction,Size Neg,0,0,,0
2161,3030,None,,TQ 17 Rate,Post,For different names we have the same colours ,There are errors in construction,Rate,0,0,,0
2223,3030,None,,TQ 18 Rate,Post,Similar colours in two different cities,It's well constructed,Rate,0,0,,0
5,3372,Text,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:26:16,Rate,0,0,,0
10,1107,Text,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:48:22,Rate,0,0,,0
14,1299,Text,,PQ 1 Rate,Prior,TRUE,2019-11-27 17:23:25,Rate,0,0,,0
20,1858,Text,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:01:12,Rate,P,P,,P
24,2260,Text,,PQ 1 Rate,Prior,TRUE,2019-11-27 17:34:38,Rate,P,P,,P
29,1335,Text,,PQ 1 Rate,Prior,TRUE,2019-11-27 17:18:57,Rate,0,0,,0
35,2479,Text,,PQ 1 Rate,Prior,TRUE,2019-11-26 14:11:26,Rate,0,P,X,P
38,3139,Text,,PQ 1 Rate,Prior,TRUE,2019-11-27 17:48:45,Rate,0,0,,0
44,2784,Text,,PQ 1 Rate,Prior,TRUE,2019-11-27 17:46:38,Rate,0,0,,0
49,1164,Text,,PQ 1 Rate,Prior,TRUE,2019-11-26 13:49:20,Rate,0,0,,0
62,Duration (in seconds),Text,,PQ 1 Rate,Prior,Finished,RecordedDate,Rate,0,0,,0
67,3372,Text,,PQ 2 Rate,Prior,R_2Vxx9sqelfqyaUn,"I consent, begin the study",Rate,0,0,,0
72,1107,Text,,PQ 2 Rate,Prior,R_3iydzcyHb3gD1SV,"I consent, begin the study",Rate,0,0,,0
76,1299,Text,,PQ 2 Rate,Prior,R_2fwEjtM8BJ5zBeg,"I consent, begin the study",Rate,0,0,,0
82,1858,Text,,PQ 2 Rate,Prior,R_1QLuVt8oWQKWqr7,"I consent, begin the study",Rate,0,P,X,0
86,2260,Text,,PQ 2 Rate,Prior,R_2VaV67IHVhYA0k2,"I consent, begin the study",Rate,0,0,,0
91,1335,Text,,PQ 2 Rate,Prior,R_3F36jBIlRmoCsKl,"I consent, begin the study",Rate,0,0,,0
97,2479,Text,,PQ 2 Rate,Prior,R_2cvl7FQeF2AbC9h,"I consent, begin the study",Rate,1,1,,1
100,3139,Text,,PQ 2 Rate,Prior,R_21hRZ9NDVM3bAuO,"I consent, begin the study",Rate,0,0,,0
106,2784,Text,,PQ 2 Rate,Prior,R_2Swfr0vhWIp658S,"I consent, begin the study",Rate,0,0,,0
111,1164,Text,,PQ 2 Rate,Prior,R_WujOwZXudyqkrcd,"I consent, begin the study",Rate,0,0,,0
124,Duration (in seconds),Text,,PQ 2 Rate,Prior,ResponseId,Q1,Rate,0,0,,0
129,3372,Text,,PQ 3 Good,Prior,5c1026b7e6eb4e0001b2863c,There are errors in construction,Good,1,1,,1
134,1107,Text,,PQ 3 Good,Prior,5a68c6e431b87a0001c753d6,It's well constructed,Good,0,0,,0
138,1299,Text,,PQ 3 Good,Prior,5cf7cbe401a41f0017d1846f,It's well constructed,Good,1,1,,1
144,1858,Text,,PQ 3 Good,Prior,5dbc5143859674000ebbe28c,It's well constructed,Good,1,1,,1
148,2260,Text,,PQ 3 Good,Prior,5bd9eb1b1dcc41000132ae7e,It's well constructed,Good,0,0,,0
153,1335,Text,,PQ 3 Good,Prior,5d650ee54c485a00018c0747,It's well constructed,Good,1,1,,1
159,2479,Text,,PQ 3 Good,Prior,5d90be048ff8b4001656a6d9,It's well constructed,Good,1,1,,1
162,3139,Text,,PQ 3 Good,Prior,5dc1978fdbf8200fe9537083,It's well constructed,Good,0,0,,0
168,2784,Text,,PQ 3 Good,Prior,5dbf7e6f5b87704112c41466,It's well constructed,Good,0,P,X,0
173,1164,Text,,PQ 3 Good,Prior,5d7192103785810001af02a6,It's well constructed,Good,0,0,,0
186,Duration (in seconds),Text,,PQ 3 Good,Prior,Q6,PQ 1 Rate,Good,1,1,,1
191,3372,Text,,PQ 4 GOOD,Prior,"the graph only needs one line, the two lines do not show the correlation between hours of sleep and salary",There are errors in construction,Good,1,1,,1
196,1107,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
200,1299,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,0,0,,0
206,1858,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
210,2260,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
215,1335,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
221,2479,Text,,PQ 4 GOOD,Prior,,It's well constructed,Good,1,1,,1
224,3139,Text,,PQ 4 GOOD,Prior,,There are errors in construction,Good,0,0,,0
230,2784,Text,,PQ 4 GOOD,Prior,,There are errors in construction,Good,1,1,,1
235,1164,Text,,PQ 4 GOOD,Prior,,There are errors in construction,Good,1,1,,1
248,Duration (in seconds),Text,,PQ 4 GOOD,Prior,PQ 1 Rate Text,PQ 2 Rate,Good,1,1,,1
253,3372,Text,,PQ 5 Good,Prior,the two vertical axis have different scales,It's well constructed,Good,1,1,,1
258,1107,Text,,PQ 5 Good,Prior,,It's well constructed,Good,1,1,,1
262,1299,Text,,PQ 5 Good,Prior,,There are errors in construction,Good,0,0,,0
268,1858,Text,,PQ 5 Good,Prior,,It's well constructed,Good,1,1,,1
272,2260,Text,,PQ 5 Good,Prior,,There are errors in construction,Good,1,1,,1
277,1335,Text,,PQ 5 Good,Prior,,There are errors in construction,Good,0,0,,0
283,2479,Text,,PQ 5 Good,Prior,,It's well constructed,Good,1,1,,1
286,3139,Text,,PQ 5 Good,Prior,It could be confusing for some people,There are errors in construction,Good,1,1,,1
292,2784,Text,,PQ 5 Good,Prior,The data on each corresponding x-axis do not have labelled units. ,There are errors in construction,Good,1,1,,1
297,1164,Text,,PQ 5 Good,Prior,"""Data 1"" and ""Data 2"" are poor descriptors.",It's well constructed,Good,1,1,,1
310,Duration (in seconds),Text,,PQ 5 Good,Prior,PQ 2 Rate Text,PQ 3 Good,Good,1,1,,1
315,3372,Text,,PQ  6 Rate,Prior,,It's well constructed,Rate,0,0,,0
320,1107,Text,,PQ  6 Rate,Prior,,It's well constructed,Rate,0,0,,0
324,1299,Text,,PQ  6 Rate,Prior,"Colours could be a little bit less similar, even though it is understandable.",It's well constructed,Rate,0,0,,0
330,1858,Text,,PQ  6 Rate,Prior,,It's well constructed,Rate,0,P,X,0
334,2260,Text,,PQ  6 Rate,Prior,Unable to read due to poor design of the readings,It's well constructed,Rate,0,0,,0
339,1335,Text,,PQ  6 Rate,Prior,Hard to understand and follow,It's well constructed,Rate,0,0,,0
345,2479,Text,,PQ  6 Rate,Prior,,It's well constructed,Rate,P,0,X,0
348,3139,Text,,PQ  6 Rate,Prior,The cluster merge so the data is unclear,It's well constructed,Rate,0,0,,0
354,2784,Text,,PQ  6 Rate,Prior,This graph needs a title to indicate what/who is being measured.,There are errors in construction,Rate,0,0,,0
359,1164,Text,,PQ  6 Rate,Prior,,It's well constructed,Rate,0,0,,0
372,Duration (in seconds),Text,,PQ  6 Rate,Prior,PQ 3 Good Text,PQ 4 GOOD,Rate,0,0,,0
377,3372,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
382,1107,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,1,1,,1
386,1299,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,1,1,,1
392,1858,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
396,2260,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
401,1335,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
407,2479,Text,,PQ 7 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
410,3139,Text,,PQ 7 Zero,Prior,,There are errors in construction,Zero Axis,0,P,X,0
416,2784,Text,,PQ 7 Zero,Prior,"The graph does not have labelled units (F/C) on X-axis, and there is no title.",It's well constructed,Zero Axis,0,0,,0
421,1164,Text,,PQ 7 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
434,Duration (in seconds),Text,,PQ 7 Zero,Prior,PQ 4 Good Text,PQ 5 Good,Zero Axis,1,1,,1
439,3372,Text,,PQ 8 Zero,Prior,,There are errors in construction,Zero Axis,0,0,,0
444,1107,Text,,PQ 8 Zero,Prior,,It's well constructed,Zero Axis,0,0,,0
