Foreign Key,Actual Chart Error,Response,Error Identified (Coder 1),TODO,544,LEFT OFF,15,FLAG
321,Rate,,0,,,,,1
354,Rate,Difficult to  read data,0,,,,,1
540,Zero Axis,,0,,,,,1
658,Legend,There is no legend key for the graph,0,,,,,1
707,Legend,missing legend,0,,,,,1
714,Legend,there is no legend,0,,,,,1
901,Neg Size,The date (year-month) y axis is incorrectly represented.,0,,,,,1
1224,Good,,0,,,,,1
1323,Legend,,0,,,,,1
1424,Color,Poorly constructed legend and also axis numbers.,0,,,,,1
1470,Color,the two y-axis change at different rates,0,,,,,1
1505,Size Neg,Y axis could have more numbers to make bars more accurate.,1,,,,,1
1,Rate,,0,,,,,
2,Rate,,0,,,,,
3,Rate,no correlation between the variables,,,,,,
4,Rate,,0,,,,,
5,Rate,the dots dont mean anything,,,,,,
6,Rate,,0,,,,,
7,Rate,,P,,,,,
8,Rate,,0,,,,,
9,Rate,,0,,,,,
10,Rate,,0,,,,,
11,Rate,,0,,,,,
12,Rate,do not know this type of chart,,,,,,
13,Rate,,0,,,,,
14,Rate,colors should be different,,,,,,
15,Rate,sun is beung shown with precipitation,,,,,,
16,Rate,,0,,,,,
17,Rate,no idea what it means,,,,,,
18,Rate,weird variables without connection,,,,,,
19,Rate,,0,,,,,
20,Rate,,P,,,,,
21,Rate,,0,,,,,
22,Rate,,0,,,,,
23,Rate,no legend,P,,,,,
24,Rate,no legend,P,,,,,
25,Rate,similar colors,,,,,,
26,Rate,,0,,,,,
27,Rate,Not understand,,,,,,
28,Rate,there is no legend,,,,,,
29,Rate,sizes with negative values,,,,,,
30,Rate,,0,,,,,
31,Rate,vars have different measures,,,,,,
32,Rate,doesnt start at zero,,,,,,
33,Rate,there is no legend,,,,,,
34,Rate,similar colors,,,,,,
35,Rate,similar color,0,,,,,
36,Rate,size with  negative value,P,,,,,
37,Rate,there is o legend,,,,,,
38,Rate,,0,,,,,
39,Rate,,0,,,,,
40,Rate,The labels should say what data 1 and data 2 are,0,,,,,
41,Rate,"The labels must have the units, it is impossible to understand what is fertility=1",,,,,,
42,Rate,,0,,,,,
43,Rate,,0,,,,,
44,Rate,,0,,,,,
45,Rate,,P,,,,,
46,Rate,Y-Axis label should specify what is being counted,0,,,,,
47,Rate,,0,,,,,
48,Rate,"It doesn't show any label, it is impossible to associate any color to a specific information",0,,,,,
49,Rate,"It is missing the y-axis label, and it's impossible to associate the colors to different data",,,,,,
50,Rate,"The colours used should be different, or else, use different patterns",,,,,,
51,Rate,The Y-axis label must also refer the units used,,,,,,
52,Rate,,0,,,,,
53,Rate,The y-axis should have a larger separation between the values.,,,,,,
54,Rate,"The axis label is not specific, we don't know what count is.",,,,,,
55,Rate,,0,,,,,
56,Rate,,0,,,,,
57,Rate,"In the legend we have v1, v2 and v3 but only v3 shows up",,,,,,
58,Rate,,0,,,,,
59,Rate,Different colours would help us to understand it better,0,,,,,
60,Rate,,0,,,,,
61,Rate,Some colours are to similar,,,,,,
62,Rate,"Confused, things on top of things",0,,,,,
63,Rate,can't understand the square values,,,,,,
64,Rate,"It's too grey, different colours would help us distinguish the graph",,,,,,
65,Rate,,0,,,,,
66,Rate,,0,,,,,
67,Rate,,0,,,,,
68,Rate,,0,,,,,
69,Rate,,0,,,,,
70,Rate,For different names we have the same colours ,P,,,,,
71,Rate,Similar colours in two different cities,0,,,,,
72,Rate,,0,,,,,
73,Rate,,0,,,,,
74,Rate,Some labels have bigger font size than the others,,,,,,
75,Rate,"the graph only needs one line, the two lines do not show the correlation between hours of sleep and salary",,,,,,
76,Rate,,0,,,,,
77,Rate,,0,,,,,
78,Rate,,0,,,,,
79,Rate,,0,,,,,
80,Rate,,0,,,,,
81,Rate,,0,,,,,
82,Rate,,0,,,,,
83,Rate,,0,,,,,
84,Rate,,0,,,,,
85,Rate,PQ 1 Rate Text,,,,,,
86,Rate,the two vertical axis have different scales,,,,,,
87,Rate,,0,,,,,
88,Rate,,0,,,,,
89,Rate,,0,,,,,
90,Rate,,0,,,,,
91,Rate,,0,,,,,
92,Rate,,0,,,,,
93,Rate,It could be confusing for some people,,,,,,
94,Rate,The data on each corresponding x-axis do not have labelled units. ,,,,,,
95,Rate,"""Data 1"" and ""Data 2"" are poor descriptors.",0,,,,,
96,Rate,PQ 2 Rate Text,0,,,,,
97,Rate,,1,,,,,
98,Rate,,0,,,,,
99,Rate,"Colours could be a little bit less similar, even though it is understandable.",,,,,,
100,Rate,,0,,,,,
101,Rate,Unable to read due to poor design of the readings,,,,,,
102,Rate,Hard to understand and follow,0,,,,,
103,Rate,,0,,,,,
104,Rate,The cluster merge so the data is unclear,,,,,,
105,Rate,This graph needs a title to indicate what/who is being measured.,0,,,,,
106,Rate,,0,,,,,
107,Rate,PQ 3 Good Text,P,,,,,
108,Rate,,0,,,,,
109,Rate,,0,,,,,
110,Rate,,0,,,,,
111,Rate,,0,,,,,
112,Rate,,0,,,,,
113,Rate,,0,,,,,
114,Rate,,0,,,,,
115,Rate,,0,,,,,
116,Rate,"The graph does not have labelled units (F/C) on X-axis, and there is no title.",1,,,,,
117,Rate,,0,,,,,
118,Rate,PQ 4 Good Text,0,,,,,
119,Rate,,0,,,,,
120,Rate,,P,,,,,
121,Rate,,P,,,,,
122,Rate,,0,,,,,
123,Rate,,0,,,,,
124,Rate,,0,,,,,
125,Good,The null column of the Major Genre should be capitalised. ,0,,,,,
126,Good,The axis should be switched ,0,,,,,
127,Good,,1,,,,,
128,Good,,1,,,,,
129,Good,PQ 5 Good Text,,,,,,
130,Good,the monthly income data does not relate to the bonus axis,,,,,,
131,Good,,0,,,,,
132,Good,,0,,,,,
133,Good,,1,,,,,
134,Good,,0,,,,,
135,Good,It can't be true,,,,,,
136,Good,The left and right axis readings contradict each other. ,0,,,,,
137,Good,,1,,,,,
138,Good,,1,,,,,
139,Good,,1,,,,,
140,Good,PQ 6 Rate Text,,,,,,
141,Good,,1,,,,,
142,Good,,0,,,,,
143,Good,Scale should have been adapted to fit the data.,,,,,,
144,Good,We only see a section of the graph,,,,,,
145,Good,,0,,,,,
146,Good,,1,,,,,
147,Good,Products sold could have started at 200 to make the graph smaller.,,,,,,
148,Good,,0,,,,,
149,Good,This graph needs a title and better labelling of each axis.,0,,,,,
150,Good,Too much white space.,0,,,,,
151,Good,PQ 7 Zero Text,,,,,,
152,Good,,1,,,,,
153,Good,,1,,,,,
154,Good,,0,,,,,
155,Good,,1,,,,,
156,Good,,1,,,,,
157,Good,,0,,,,,
158,Good,,0,,,,,
159,Good,,1,,,,,
160,Good,The Y-axis does not have labelled units.,,,,,,
161,Good,It would be better to add more months to the x-axis.,,,,,,
162,Good,PQ 8 Zero Text,0,,,,,
163,Good,"there is too much data to be able to see the individual results where it is all bunched up, it needs to be more spread out",0,,,,,
164,Good,too crowded can't distinguish data,0,,,,,
165,Good,,1,,,,,
166,Good,I have no idea what it is trying to show,,,,,,
167,Good,markings all same colour and very unclear,,,,,,
