"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""duration""}",,"{""ImportId"":""QID254""}","{""ImportId"":""QID255""}","{""ImportId"":""QID256""}","{""ImportId"":""QID257_TEXT""}","{""ImportId"":""QID259""}"
2019-11-26 13:30:02,2019-11-26 13:58:30,1707,,18-24 years old,"Some college credit, no degree",Very comfortable,employed,Female
2019-11-26 13:30:03,2019-11-26 14:26:15,3372,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat uncomfortable,exercise rider,Female
2019-11-26 13:30:00,2019-11-26 14:01:52,1912,,18-24 years old,Bachelor’s degree,Somewhat comfortable,Graduate at a major insurer,Female
2019-11-26 13:30:02,2019-11-26 14:06:15,2173,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat comfortable,IT Support,Female
2019-11-26 13:31:00,2019-11-26 14:06:23,2122,,18-24 years old,Bachelor’s degree,Somewhat comfortable,Master student,Female
2019-11-27 17:01:45,2019-11-27 17:23:24,1299,,18-24 years old,Bachelor’s degree,Somewhat comfortable,PhD student,Female
2019-11-27 16:56:11,2019-11-27 17:05:18,547,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat comfortable,studen†,Female
2019-11-26 13:32:28,2019-11-26 14:13:54,2485,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat comfortable,Student,Female
2019-11-26 13:30:08,2019-11-26 14:39:36,4168,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat comfortable,student,Female
2019-11-26 13:30:13,2019-11-26 14:01:12,1858,,18-24 years old,"Some college credit, no degree",Somewhat uncomfortable,Student,Female
2019-11-27 16:57:05,2019-11-27 17:33:25,2180,,18-24 years old,"Some college credit, no degree",Somewhat comfortable,student / bar worker ,Female
2019-11-27 16:56:07,2019-11-27 17:42:17,2769,,18-24 years old,"Some college credit, no degree",Very comfortable,Student at university,Female
2019-11-26 13:29:59,2019-11-26 13:51:42,1302,,18-24 years old,"Some college credit, no degree",Somewhat comfortable,Studying Biochemistry ,Female
2019-11-27 16:56:41,2019-11-27 17:18:57,1335,,18-24 years old,Bachelor’s degree,Somewhat uncomfortable,Aviation Instructor,Male
2019-11-26 13:29:49,2019-11-26 13:55:41,1551,,18-24 years old,Bachelor’s degree,Very uncomfortable,Civil Engineering Student ,Male
2019-11-27 16:56:18,2019-11-27 17:21:52,1533,,18-24 years old,Bachelor’s degree,Somewhat comfortable,Logistics manager,Male
2019-11-26 13:30:04,2019-11-26 13:48:38,1114,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat comfortable,Self-employed,Male
2019-11-27 16:59:39,2019-11-27 17:16:24,1004,,18-24 years old,Associate degree,Somewhat comfortable,Student,Male
2019-11-27 17:00:14,2019-11-27 17:46:38,2784,,18-24 years old,Bachelor’s degree,Somewhat comfortable,Student,Male
2019-11-27 16:59:34,2019-11-27 17:36:40,2226,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat comfortable,Student,Male
2019-11-26 13:30:13,2019-11-26 13:54:01,1427,,18-24 years old,"Some college credit, no degree",Somewhat comfortable,Student,Male
2019-11-26 13:38:39,2019-11-26 14:26:53,2893,,18-24 years old,"Some college credit, no degree",Somewhat comfortable,Student,Male
2019-11-26 13:30:01,2019-11-26 13:49:40,1179,,18-24 years old,"Some high school, no diploma",Somewhat comfortable,Student,Male
2019-11-26 13:29:55,2019-11-26 13:49:20,1164,,18-24 years old,Associate degree,Very comfortable,Student,Male
2019-11-26 13:38:15,2019-11-26 14:02:56,1480,,18-24 years old,"Some college credit, no degree",Very comfortable,Student,Male
2019-11-27 16:56:13,2019-11-27 17:54:34,3501,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Very uncomfortable,Student,Male
2019-11-26 13:31:59,2019-11-26 14:22:29,3030,,18-24 years old,Bachelor’s degree,Neither comfortable nor uncomfortable,Student ,Male
2019-11-26 13:51:46,2019-11-26 14:05:55,848,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Neither comfortable nor uncomfortable,Student in university,Male
2019-11-27 16:57:29,2019-11-27 18:01:48,3858,,18-24 years old,"Some college credit, no degree",Very uncomfortable,student.,Male
2019-11-27 16:56:15,2019-11-27 17:14:00,1065,,18-24 years old,"High school graduate, diploma or the equivalent (for example: GED)",Somewhat comfortable,University Student,Male
2019-11-26 13:31:42,2019-11-26 14:01:32,1790,,25-34 years old,Bachelor’s degree,Somewhat uncomfortable,Department supervisor (retail),Female
2019-11-27 17:05:19,2019-11-27 18:01:38,3378,,25-34 years old,"Some college credit, no degree",Neither comfortable nor uncomfortable,Hospitality ,Female
