Primary Key,Participant ID,Treatment Group,Error Type ,Error Explanation,Visual,Text,Text+Visual,None of the Above,Rank Explanation
16,de,Text,Color,Text and visual ,1,3,2,4,The dots are too merged together 
18,5c97f7ed18a759001648027a,Visual,Color,that the 2 colours of 2 of the origins on the graph are too similar,1,3,2,4,"Seeing just the legend highlighted points out the issue straight away, having the text there too makes it even clearer."
27,5bfbf60d18430e000186a0b6,TextLint,Color,The colours are too similar,1,3,2,4,The red box was the only necessary aid to enable me to see the issue
43,5c7ead380ce9a10016fb5ebf,Visual,Color,Colors are two similar.,1,3,2,4,Very clustered and cannot tell the difference.
44,5d650ee54c485a00018c0747,Text,Color,Too similar colors,1,3,2,4,It is really helpful to see and read about the problem
46,5d2c9ed0a0580000174a22bc,TextLint,Color,Too similar colors,1,3,2,4,"Easy to see, have to look for text"
59,5d287be62a33c100167c93c6,Visual,Color,the colors are too similar,1,3,2,4,I was able to understand simply with just visual
60,5c5f933f59ec1d0001fe64e7,TextLint,Color,The colors are way too similar to one another,1,2,3,4,The colors arenot different from each other and you can look at the visual to see that above that why I chose visual first 
2,5c2d3ba4731cd10001b647d7,TextLint,Color,colors are too similiar,2,1,3,4,the colors are too similiar so the visual makes the best use of how to determine the error
10,5781511fad1a6c00014658b7,Text,Color,The colours are too similar,2,1,3,4,The colours are too similar is enough for someone to gauge what it's referring to.
14,5a6b4cd2d5d4cb0001d64740,Text,Color,The colors are too similar,2,3,1,4,"I think it's good to understand why an error is wrong, not just that an error is there. "
15,5dc38919dcc83f28ec7970a9,Visual,Color,The legend and the colors are too similar,2,1,3,4,The text is the easiest to read. 
19,5dbc5143859674000ebbe28c,Visual,Color,The colors are too similar,2,3,1,4,I think text and visual is most helpful because the visual is loud and calls attention and the text explains. I think visual helps more because it jumps out more than the text.
25,5d7929cc3dd8fd0001de3b98,TextLint,Color,The colours for the keys are too similar.,2,3,1,4,It's nice to have the legend pointed out to you.
33,5a49d6a06d85f80001c25bc4,TextLint,Color,the colors of two of the countries are too similar,2,3,1,4,"with no text, you don't know what's going on - and the text needs to be next to the actual error point - like next to the actual box!"
40,5cc99062d918560016acf,TextLint,Color,Text + Visual,2,3,1,4,The text and visual explained the error to the fullest but the visual was enough to show the error
42,5d77eb3007e8770001acdef8,Visual,Color,Colours too similar,2,3,4,1,I knew immediately why
52,5cab8cadd0f9c90016b178b0,TextLint,Color,the colors are too similar.,2,1,3,4,Error is too obvious. It does not matter text or visual is given as first place.
55,5dbf7e6f5b87704112c41466,Visual,Color,Visual,2,3,1,4,The text + visual option has much more information that clearly explains the issue.
3,5a68c6e431b87a0001c753d6,Visual,Color,colours are too similar,3,2,1,4,good to see and be told
4,5c6693d3a3636800013e2a5b,Visual,Color,The colours are too similar ,3,1,2,4,Text is clear but visual does not clearly show the error
5,56f340a6d70ab40006682a5e,Text,Color,The colors are too similar.,3,1,2,4,The visual isn't clear enough about the problem as the text is.
6,5d7192103785810001af02a6,Text,Color,The colors are too similar.,3,1,2,4,"This is one instance where it may be clear enough through text to see the mistake. With visuals, colors the legend may not actually notify the viewer what the problem is. "
7,5c2677e6ec10810001431001,TextLint,Color,The colours on the graph are too similar.,3,2,1,4,The text gives context for why the visual is there.
8,5db5d65a57839d000d955bae,Visual,Color,The colours are too similar ,3,1,2,4,Visual wasn't helpful as it points out the key but not the error 
9,5cfeea9c4954fe00165895e0,Visual,Color,The colors are too similar,3,2,1,4,Text+Visual contains the most info.  Highlighting the legend without any text is not clear what the actual issue is - you have to guess - the text is cleraer
