Error Type,Visual Ranking,VIsual Count,Total,Visual_Percentages,Text Ranking,Text Count,Total,Text Percentages,Text + Visual,Text + Visual Count,Total,Text + Count Percentages,None,None Count,None Total,None Percentage
Size,1,5,62,0.08064516129,3,16,62,0.2580645161,2,7,62,0.1129032258,4,62,62,1
Size,2,16,,0.2580645161,2,39,,0.6290322581,3,5,,0.08064516129,,,,
Size,3,41,,0.6612903226,1,7,,0.1129032258,1,50,,0.8064516129,,,,
Color,1,8,61,0.131147541,3,14,61,0.2295081967,2,30,61,0.4918032787,4,59,61,0.9672131148
Color,2,11,,0.1803278689,2,20,,0.3278688525,3,5,,0.08196721311,1,1,,0.01639344262
Color,3,41,,0.6721311475,1,27,,0.4426229508,1,25,,0.4098360656,3,1,,0.01639344262
Color,4,1,,,,,,,4,1,,0.01639344262,,,,
,,,,,,,,,,,,,,,,
Range,1,2,56,0.03571428571,2,9,56,0.1607142857,3,15,56,0.2678571429,4,56,56,1
Range,2,18,,0.3214285714,3,6,,0.1071428571,4,6,,0.1071428571,,,,
Range,3,35,,0.625,1,41,,0.7321428571,2,29,,0.5178571429,,,,
Range,4,1,,0.01785714286,,,,,1,6,,0.1071428571,,,,
Log Neg,1,3,62,0.04838709677,3,15,62,0.2419354839,2,12,62,0.1935483871,,62,62,1
Log Neg,2,19,,0.3064516129,2,30,,0.4838709677,3,7,,0.1129032258,,,,
Log Neg,3,38,,0.6129032258,1,17,,0.2741935484,4,5,,0.08064516129,,,,
Log Neg,4,2,,,,,,,1,38,,0.6129032258,,,,
Zero Axis,1,4,61,0.06557377049,2,24,61,0.393442623,3,5,61,0.08196721311,),61,61,1
Zero Axis,2,20,,0.3278688525,3,19,,0.3114754098,2,17,,0.2786885246,4,,,
Zero Axis,3,37,,0.606557377,1,18,,0.2950819672,1,37,,0.606557377,,,,
Zero Axis,,,,,,0,,0,4,2,,0.03278688525,,,,
Rate,1,4,60,0.06666666667,2,21,60,0.35,3,6,60,0.1,4,60,60,1
Rate,2,8,,0.1333333333,3,9,,0.15,2,28,,0.4666666667,,,,
Rate,3,44,,0.7333333333,1,29,,0.4833333333,1,25,,0.4166666667,,,,
Rate,4,4,,0.06666666667,4,1,,0.01666666667,4,1,,0.01666666667,,,,
Legend,1,14,60,0.2333333333,3,24,60,0.4,2,22,60,0.3666666667,4,60,60,1
Legend,2,17,,0.2833333333,2,21,,0.35,3,7,,0.1166666667,,,,
Legend,3,29,,0.4833333333,1,15,,0.25,1,30,,0.5,,,,
,,0,,,,,,,4,1,,0.01666666667,,,,
